,InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Revenue
103,537201,22333,RETROSPOT PARTY BAG + STICKER SET,8,05-12-2010 14:19,1.65,12472,Germany,13.2
104,537201,20668,DISCO BALL CHRISTMAS DECORATION,24,05-12-2010 14:19,0.12,12472,Germany,2.88
105,537201,21817,GLITTER CHRISTMAS TREE,12,05-12-2010 14:19,0.85,12472,Germany,10.2
106,537201,22337,ANGEL DECORATION PAINTED ZINC ,24,05-12-2010 14:19,0.65,12472,Germany,15.6
107,537201,22571,ROCKING HORSE RED CHRISTMAS ,24,05-12-2010 14:19,0.85,12472,Germany,20.4
108,537201,22572,ROCKING HORSE GREEN CHRISTMAS ,24,05-12-2010 14:19,0.85,12472,Germany,20.4
109,537201,22579,WOODEN TREE CHRISTMAS SCANDINAVIAN,24,05-12-2010 14:19,0.85,12472,Germany,20.4
110,537201,22601,CHRISTMAS RETROSPOT ANGEL WOOD,24,05-12-2010 14:19,0.85,12472,Germany,20.4
111,537201,84341B,SMALL PINK MAGIC CHRISTMAS TREE,12,05-12-2010 14:19,0.85,12472,Germany,10.2
112,537201,22629,SPACEBOY LUNCH BOX ,36,05-12-2010 14:19,1.95,12472,Germany,70.2
113,537201,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,24,05-12-2010 14:19,2.95,12472,Germany,70.8
114,537201,20719,WOODLAND CHARLOTTE BAG,30,05-12-2010 14:19,0.85,12472,Germany,25.5
115,537201,22556,PLASTERS IN TIN CIRCUS PARADE ,12,05-12-2010 14:19,1.65,12472,Germany,19.8
116,537201,22895,SET OF 2 TEA TOWELS APPLE AND PEARS,12,05-12-2010 14:19,2.95,12472,Germany,35.4
117,537201,20750,RED RETROSPOT MINI CASES,4,05-12-2010 14:19,7.95,12472,Germany,31.8
118,537201,22321,BIRD DECORATION RED RETROSPOT,12,05-12-2010 14:19,0.85,12472,Germany,10.2
119,537201,22354,RETROSPOT PADDED SEAT CUSHION,10,05-12-2010 14:19,3.75,12472,Germany,37.5
120,537201,22077,6 RIBBONS RUSTIC CHARM,24,05-12-2010 14:19,1.65,12472,Germany,39.6
121,537201,85049E,SCANDINAVIAN REDS RIBBONS,12,05-12-2010 14:19,1.25,12472,Germany,15.0
122,537201,85049D,BRIGHT BLUES RIBBONS ,12,05-12-2010 14:19,1.25,12472,Germany,15.0
123,537201,85049F,BABY BOOM RIBBONS ,12,05-12-2010 14:19,1.25,12472,Germany,15.0
124,537201,85049G,CHOCOLATE BOX RIBBONS ,12,05-12-2010 14:19,1.25,12472,Germany,15.0
125,537201,22141,CHRISTMAS CRAFT TREE TOP ANGEL,12,05-12-2010 14:19,2.1,12472,Germany,25.2
126,537201,22144,CHRISTMAS CRAFT LITTLE FRIENDS,12,05-12-2010 14:19,2.1,12472,Germany,25.2
127,537201,22602,CHRISTMAS RETROSPOT HEART WOOD,12,05-12-2010 14:19,0.85,12472,Germany,10.2
128,537201,22600,CHRISTMAS RETROSPOT STAR WOOD,12,05-12-2010 14:19,0.85,12472,Germany,10.2
129,537201,22595,CHRISTMAS GINGHAM HEART,12,05-12-2010 14:19,0.85,12472,Germany,10.2
130,537201,22594,CHRISTMAS GINGHAM TREE,12,05-12-2010 14:19,0.85,12472,Germany,10.2
131,537201,22593,CHRISTMAS GINGHAM STAR,12,05-12-2010 14:19,0.85,12472,Germany,10.2
132,537201,22573,STAR WOODEN CHRISTMAS DECORATION,12,05-12-2010 14:19,0.85,12472,Germany,10.2
133,537201,22574,HEART WOODEN CHRISTMAS DECORATION,12,05-12-2010 14:19,0.85,12472,Germany,10.2
134,537201,22577,WOODEN HEART CHRISTMAS SCANDINAVIAN,12,05-12-2010 14:19,0.85,12472,Germany,10.2
135,537201,22578,WOODEN STAR CHRISTMAS SCANDINAVIAN,12,05-12-2010 14:19,0.85,12472,Germany,10.2
136,537201,20724,RED RETROSPOT CHARLOTTE BAG,20,05-12-2010 14:19,0.85,12472,Germany,17.0
137,537201,22423,REGENCY CAKESTAND 3 TIER,4,05-12-2010 14:19,12.75,12472,Germany,51.0
138,537201,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,12,05-12-2010 14:19,2.95,12472,Germany,35.4
139,537201,22631,CIRCUS PARADE LUNCH BOX ,12,05-12-2010 14:19,1.95,12472,Germany,23.4
140,537201,22080,RIBBON REEL POLKADOTS ,10,05-12-2010 14:19,1.65,12472,Germany,16.5
141,537201,22079,RIBBON REEL HEARTS DESIGN ,10,05-12-2010 14:19,1.65,12472,Germany,16.5
142,537201,22078,RIBBON REEL LACE DESIGN ,10,05-12-2010 14:19,2.1,12472,Germany,21.0
143,537201,22867,HAND WARMER BIRD DESIGN,12,05-12-2010 14:19,2.1,12472,Germany,25.2
144,537201,22467,GUMBALL COAT RACK,12,05-12-2010 14:19,2.55,12472,Germany,30.6
145,537201,22242,5 HOOK HANGER MAGIC TOADSTOOL,12,05-12-2010 14:19,1.65,12472,Germany,19.8
146,537201,22244,3 HOOK HANGER MAGIC GARDEN,12,05-12-2010 14:19,1.95,12472,Germany,23.4
147,537201,22245,"HOOK, 1 HANGER ,MAGIC GARDEN",12,05-12-2010 14:19,0.85,12472,Germany,10.2
148,537201,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,6,05-12-2010 14:19,2.95,12472,Germany,17.7
149,537201,POST,POSTAGE,6,05-12-2010 14:19,18.0,12472,Germany,108.0
150,537201,22636,CHILDS BREAKFAST SET CIRCUS PARADE,4,05-12-2010 14:19,8.5,12472,Germany,34.0
151,537212,20712,JUMBO BAG WOODLAND ANIMALS,10,05-12-2010 15:21,1.95,12720,Germany,19.5
152,537212,20719,WOODLAND CHARLOTTE BAG,10,05-12-2010 15:21,0.85,12720,Germany,8.5
153,537212,22554,PLASTERS IN TIN WOODLAND ANIMALS,12,05-12-2010 15:21,1.65,12720,Germany,19.8
154,537212,21981,PACK OF 12 WOODLAND TISSUES ,24,05-12-2010 15:21,0.29,12720,Germany,6.96
155,537212,22960,JAM MAKING SET WITH JARS,6,05-12-2010 15:21,4.25,12720,Germany,25.5
156,537212,22961,JAM MAKING SET PRINTED,12,05-12-2010 15:21,1.45,12720,Germany,17.4
157,537212,22962,JAM JAR WITH PINK LID,12,05-12-2010 15:21,0.85,12720,Germany,10.2
158,537212,22963,JAM JAR WITH GREEN LID,12,05-12-2010 15:21,0.85,12720,Germany,10.2
159,537212,21984,PACK OF 12 PINK PAISLEY TISSUES ,24,05-12-2010 15:21,0.29,12720,Germany,6.96
160,537212,21883,STARS GIFT TAPE ,12,05-12-2010 15:21,0.65,12720,Germany,7.8
161,537212,22557,PLASTERS IN TIN VINTAGE PAISLEY ,12,05-12-2010 15:21,1.65,12720,Germany,19.8
162,537212,22197,SMALL POPCORN HOLDER,24,05-12-2010 15:21,0.85,12720,Germany,20.4
163,537212,22346,PARTY PIZZA DISH GREEN POLKADOT,12,05-12-2010 15:21,0.85,12720,Germany,10.2
164,537212,22344,PARTY PIZZA DISH PINK POLKADOT,12,05-12-2010 15:21,0.85,12720,Germany,10.2
165,537212,22345,PARTY PIZZA DISH BLUE POLKADOT,12,05-12-2010 15:21,0.85,12720,Germany,10.2
166,537212,22149,FELTCRAFT 6 FLOWER FRIENDS,6,05-12-2010 15:21,2.1,12720,Germany,12.6
167,537212,22625,RED KITCHEN SCALES,2,05-12-2010 15:21,8.5,12720,Germany,17.0
168,537212,22624,IVORY KITCHEN SCALES,2,05-12-2010 15:21,8.5,12720,Germany,17.0
169,537212,22111,SCOTTIE DOG HOT WATER BOTTLE,3,05-12-2010 15:21,4.95,12720,Germany,14.85
170,537212,21481,FAWN BLUE HOT WATER BOTTLE,6,05-12-2010 15:21,2.95,12720,Germany,17.7
171,537212,84920,PINK FLOWER FABRIC PONY,4,05-12-2010 15:21,3.75,12720,Germany,15.0
172,537212,21430,SET/3 RED GINGHAM ROSE STORAGE BOX,4,05-12-2010 15:21,3.75,12720,Germany,15.0
173,537212,20677,PINK POLKADOT BOWL,8,05-12-2010 15:21,1.25,12720,Germany,10.0
174,537212,21243,PINK  POLKADOT PLATE ,8,05-12-2010 15:21,1.69,12720,Germany,13.52
175,537212,20718,RED RETROSPOT SHOPPER BAG,10,05-12-2010 15:21,1.25,12720,Germany,12.5
176,537212,22386,JUMBO BAG PINK POLKADOT,10,05-12-2010 15:21,1.95,12720,Germany,19.5
177,537212,85099B,JUMBO BAG RED RETROSPOT,10,05-12-2010 15:21,1.95,12720,Germany,19.5
178,537212,21238,RED RETROSPOT CUP,8,05-12-2010 15:21,0.85,12720,Germany,6.8
179,537212,21239,PINK  POLKADOT CUP,8,05-12-2010 15:21,0.85,12720,Germany,6.8
180,537212,POST,POSTAGE,4,05-12-2010 15:21,18.0,12720,Germany,72.0
181,537250,84030E,ENGLISH ROSE HOT WATER BOTTLE,4,06-12-2010 10:43,4.25,12708,Germany,17.0
182,537250,21216,"SET 3 RETROSPOT TEA,COFFEE,SUGAR",4,06-12-2010 10:43,4.95,12708,Germany,19.8
183,537250,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,6,06-12-2010 10:43,2.95,12708,Germany,17.7
184,537250,20675,BLUE POLKADOT BOWL,8,06-12-2010 10:43,1.25,12708,Germany,10.0
185,537250,21240,BLUE POLKADOT CUP,8,06-12-2010 10:43,0.85,12708,Germany,6.8
186,537250,20676,RED RETROSPOT BOWL,8,06-12-2010 10:43,1.25,12708,Germany,10.0
187,537250,21238,RED RETROSPOT CUP,8,06-12-2010 10:43,0.85,12708,Germany,6.8
188,537250,21242,RED RETROSPOT PLATE ,8,06-12-2010 10:43,1.69,12708,Germany,13.52
189,537250,21244,BLUE POLKADOT PLATE ,8,06-12-2010 10:43,1.69,12708,Germany,13.52
190,537250,22467,GUMBALL COAT RACK,6,06-12-2010 10:43,2.55,12708,Germany,15.3
191,537250,22082,RIBBON REEL STRIPES DESIGN ,10,06-12-2010 10:43,1.65,12708,Germany,16.5
192,537250,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,6,06-12-2010 10:43,2.95,12708,Germany,17.7
193,537250,21484,CHICK GREY HOT WATER BOTTLE,4,06-12-2010 10:43,3.45,12708,Germany,13.8
194,537250,POST,POSTAGE,1,06-12-2010 10:43,18.0,12708,Germany,18.0
195,C537333,22636,CHILDS BREAKFAST SET CIRCUS PARADE,-4,06-12-2010 12:00,8.5,12474,Germany,-34.0
196,537594,84968C,SET OF 16 VINTAGE PISTACHIO CUTLERY,4,07-12-2010 12:28,12.75,12647,Germany,51.0
197,537594,84968A,SET OF 16 VINTAGE ROSE CUTLERY,2,07-12-2010 12:28,12.75,12647,Germany,25.5
198,537594,22846,BREAD BIN DINER STYLE RED ,4,07-12-2010 12:28,14.95,12647,Germany,59.8
199,537594,22847,BREAD BIN DINER STYLE IVORY,4,07-12-2010 12:28,14.95,12647,Germany,59.8
200,537594,47559B,TEA TIME OVEN GLOVE,20,07-12-2010 12:28,1.25,12647,Germany,25.0
201,537594,22244,3 HOOK HANGER MAGIC GARDEN,12,07-12-2010 12:28,1.95,12647,Germany,23.4
202,537594,22199,FRYING PAN RED RETROSPOT,24,07-12-2010 12:28,3.75,12647,Germany,90.0
203,537594,22200,FRYING PAN PINK POLKADOT,4,07-12-2010 12:28,4.25,12647,Germany,17.0
204,537594,21035,SET/2 RED RETROSPOT TEA TOWELS ,12,07-12-2010 12:28,2.95,12647,Germany,35.4
205,537594,22203,MILK PAN RED RETROSPOT,4,07-12-2010 12:28,3.75,12647,Germany,15.0
206,537594,22202,MILK PAN PINK POLKADOT,4,07-12-2010 12:28,3.75,12647,Germany,15.0
207,537594,21731,RED TOADSTOOL LED NIGHT LIGHT,12,07-12-2010 12:28,1.65,12647,Germany,19.8
208,537594,22624,IVORY KITCHEN SCALES,2,07-12-2010 12:28,8.5,12647,Germany,17.0
209,537594,21789,KIDS RAIN MAC PINK,24,07-12-2010 12:28,0.85,12647,Germany,20.4
210,537594,21452,TOADSTOOL MONEY BOX,6,07-12-2010 12:28,2.95,12647,Germany,17.7
211,537594,21949,SET OF 6 STRAWBERRY CHOPSTICKS,12,07-12-2010 12:28,1.25,12647,Germany,15.0
212,537594,POST,POSTAGE,5,07-12-2010 12:28,18.0,12647,Germany,90.0
213,537673,21429,RED GINGHAM ROSE JEWELLERY BOX,10,08-12-2010 09:49,1.65,12709,Germany,16.5
214,537673,22467,GUMBALL COAT RACK,36,08-12-2010 09:49,2.1,12709,Germany,75.6
215,537673,22625,RED KITCHEN SCALES,24,08-12-2010 09:49,7.65,12709,Germany,183.6
216,537673,22627,MINT KITCHEN SCALES,6,08-12-2010 09:49,8.5,12709,Germany,51.0
217,537673,85049E,SCANDINAVIAN REDS RIBBONS,24,08-12-2010 09:49,1.25,12709,Germany,30.0
218,537673,20979,36 PENCILS TUBE RED RETROSPOT,32,08-12-2010 09:49,1.25,12709,Germany,40.0
219,537673,POST,POSTAGE,7,08-12-2010 09:49,18.0,12709,Germany,126.0
220,C537814,20703,BLUE PADDED SOFT MOBILE,-3,08-12-2010 13:43,4.25,12712,Germany,-12.75
221,537892,POST,POSTAGE,1,09-12-2010 10:13,18.0,12481,Germany,18.0
222,537892,22468,BABUSHKA LIGHTS STRING OF 10,2,09-12-2010 10:13,6.75,12481,Germany,13.5
223,537892,22636,CHILDS BREAKFAST SET CIRCUS PARADE,2,09-12-2010 10:13,8.5,12481,Germany,17.0
224,537892,21918,SET 12 KIDS COLOUR  CHALK STICKS,24,09-12-2010 10:13,0.42,12481,Germany,10.08
225,537892,21791,VINTAGE HEADS AND TAILS CARD GAME ,12,09-12-2010 10:13,1.25,12481,Germany,15.0
226,537892,22620,4 TRADITIONAL SPINNING TOPS,12,09-12-2010 10:13,1.25,12481,Germany,15.0
227,537892,22556,PLASTERS IN TIN CIRCUS PARADE ,12,09-12-2010 10:13,1.65,12481,Germany,19.8
228,537892,21156,RETROSPOT CHILDRENS APRON,8,09-12-2010 10:13,1.95,12481,Germany,15.6
229,537892,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,6,09-12-2010 10:13,2.95,12481,Germany,17.7
230,537892,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,6,09-12-2010 10:13,2.95,12481,Germany,17.7
231,537894,22943,CHRISTMAS LIGHTS 10 VINTAGE BAUBLES,3,09-12-2010 10:16,4.95,12621,Germany,14.85
232,537894,22964,3 PIECE SPACEBOY COOKIE CUTTER SET,6,09-12-2010 10:16,2.1,12621,Germany,12.6
233,537894,22972,CHILDREN'S SPACEBOY MUG,12,09-12-2010 10:16,1.65,12621,Germany,19.8
234,537894,22551,PLASTERS IN TIN SPACEBOY,24,09-12-2010 10:16,1.65,12621,Germany,39.6
235,537894,21680,WOODLAND  STICKERS,36,09-12-2010 10:16,0.85,12621,Germany,30.6
236,537894,22331,WOODLAND PARTY BAG + STICKER SET,24,09-12-2010 10:16,1.65,12621,Germany,39.6
237,537894,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,30,09-12-2010 10:16,2.95,12621,Germany,88.5
238,537894,22730,ALARM CLOCK BAKELIKE IVORY,12,09-12-2010 10:16,3.75,12621,Germany,45.0
239,537894,22727,ALARM CLOCK BAKELIKE RED ,12,09-12-2010 10:16,3.75,12621,Germany,45.0
240,537894,22725,ALARM CLOCK BAKELIKE CHOCOLATE,12,09-12-2010 10:16,3.75,12621,Germany,45.0
241,537894,22891,TEA FOR ONE POLKADOT,6,09-12-2010 10:16,4.25,12621,Germany,25.5
242,537894,17003,BROCADE RING PURSE ,36,09-12-2010 10:16,0.21,12621,Germany,7.56
243,537894,22585,PACK OF 6 BIRDY GIFT TAGS,12,09-12-2010 10:16,1.25,12621,Germany,15.0
244,537894,POST,POSTAGE,2,09-12-2010 10:16,18.0,12621,Germany,36.0
245,537995,22173,METAL 4 HOOK HANGER FRENCH CHATEAU,8,09-12-2010 11:39,2.95,12712,Germany,23.6
246,537995,22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,8,09-12-2010 11:39,8.5,12712,Germany,68.0
247,537995,20973,12 PENCIL SMALL TUBE WOODLAND,24,09-12-2010 11:39,0.65,12712,Germany,15.6
248,537995,21481,FAWN BLUE HOT WATER BOTTLE,6,09-12-2010 11:39,2.95,12712,Germany,17.7
